gid;geom;objectnummer;soort;voeding;rotatie;actief;privacyverklaring;location_name;width;gebiedstype;gebied
91;0101000020E610000019E25817B7D1134002840F255A284A40;GABM-02;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;AmsterdamsePoort-RiAntondeKomplein-Oost;13;Shopping;Zuidoost
92;0101000020E6100000BF4692205CD11340AF40F4A44C284A40;GABM-03;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;AmsterdamsePoort-RiAntondeKomplein-West;13;Shopping;Zuidoost
93;0101000020E61000008D7A884677D01340C47B0E2C47284A40;GABM-04;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;AmsterdamsePoort-RiAbcouderpad-Oost;10;Shopping;Zuidoost
94;0101000020E6100000511212691BCF13401F12BEF737284A40;GABM-05;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;AmsterdamsePoort-RiAbcouderpad-West;10;Shopping;Zuidoost
95;0101000020E61000000458E4D70F911340DAACFA5C6D2F4A40;GACM-01;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Kalverstraat Zuid t.h.v.73;6.5;Shopping;Winkelgebied centrum
96;0101000020E610000023DC64541976134035F0A31AF62D4A40;GAVM-06-Kattenlaan;mob 3D sensor;Eigen voeding via lichtnet;;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Kattenlaan;;Park;Vondelpark
97;0101000020E6100000732B84D558921340569FABADD82F4A40;GACM-02;mob 3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Nieuwendijk t.h.v.218;6.3;Shopping;Winkelgebied centrum
98;0101000020E6100000B8A2DE9DC6BF134085C7C8A365304A40;GVCV-06;3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Azartplein;1;Ferries;IJ-veren
99;0101000020E6100000C031152C1F8B13407B2DE8BD31324A40;GVCV-07;3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Pontsteiger N (ri. NDSM);1;Ferries;IJ-veren
100;0101000020E61000009B4A500D458B134071491F042E324A40;GVCV-08;3D sensor;NULL;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Pontsteiger Z (ri. Distelweg);1;Ferries;IJ-veren
101;0101000020E6100000DCDEC90281911340838362D0AE2F4A40;GKS-01-Kalverstraat;2D sensor;Eigen voeding via lichtnet;200;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Kalverstraat t.h.v. 1;8;Shopping;Winkelgebied centrum
102;0101000020E6100000C2323674B3CF1340F4160FEF39284A40;GABM-06;3D sensor;Eigen voeding via lichtnet;;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;AmsterdamsePoort-riAbcouderpad-Roltrappen;5;Shopping;Zuidoost
